epoch,train_loss,val_mean_error,val_median_error,val_rmse,val_mae,val_fps,val_inference_time,learning_rate,delta_0.05,delta_0.10,delta_0.15
0,3.7475935220718384,0.34489423,0.28345293,3.4914145,3.1289544,6.085435645277259,0.16432677268981932,9.999383162408304e-05,0.02,0.08,0.2
1,0.09180236048996449,0.29138213,0.23085248,3.0016806,2.5987256,6.117850371784898,0.16345610618591308,9.997532801828658e-05,0.06,0.18,0.28
2,0.11058466508984566,0.23014109,0.24210429,2.7238505,2.4415135,6.105500170749466,0.16378674507141114,9.994449374809851e-05,0.02,0.14,0.26
3,0.13879624009132385,0.18807182,0.12444409,2.0949676,1.6060392,6.022018199304707,0.1660572862625122,9.990133642141359e-05,0.28,0.42,0.66
4,0.041477397084236145,0.204269,0.14238131,2.2466173,1.7553084,6.0110060221500845,0.1663615036010742,9.98458666866564e-05,0.22,0.4,0.52
5,0.05558633245527744,0.13397534,0.11249784,1.5242295,1.2544943,5.948815022083198,0.16810070514678954,9.9778098230154e-05,0.24,0.44,0.68
6,0.04363866150379181,0.28152674,0.2226954,2.917232,2.5027027,5.933764185252216,0.1685270881652832,9.9698047772759e-05,0.06,0.18,0.34
7,0.06657511368393898,0.2563329,0.1971248,2.7043917,2.2581818,5.940958349619973,0.16832301139831543,9.96057350657239e-05,0.12,0.24,0.4
8,0.048995885998010635,0.13096271,0.09889212,1.5058783,1.1894053,5.9329944991236525,0.16854895114898683,9.950118288582787e-05,0.22,0.52,0.72
9,0.05610045604407787,0.16360937,0.099369586,1.8760847,1.3954141,5.933430769973346,0.16853655815124513,9.938441702975689e-05,0.3,0.5,0.66
10,0.05439019948244095,0.13468489,0.078472696,1.5505145,1.187786,5.927106173966243,0.16871639728546142,9.925546630773869e-05,0.3,0.58,0.7
11,0.04575345292687416,0.17532375,0.11397609,1.9861268,1.5016752,5.930536534391918,0.16861880779266358,9.911436253643444e-05,0.28,0.44,0.62
12,0.04686572030186653,0.13757467,0.07863687,1.603831,1.1917977,5.92687903138811,0.16872286319732666,9.896114053108829e-05,0.32,0.6,0.68
13,0.04397069849073887,0.14669716,0.14392051,1.7385122,1.4710432,5.936222810347833,0.16845728874206542,9.879583809693738e-05,0.2,0.38,0.52
14,0.05741869658231735,0.13312165,0.08214697,1.5444005,1.1710038,5.925976998307532,0.16874854564666747,9.861849601988384e-05,0.3,0.58,0.7
15,0.048650143668055534,0.26673502,0.20588773,2.7872512,2.3745475,5.937292859200071,0.16842692852020263,9.842915805643157e-05,0.08,0.16,0.36
16,0.05566977895796299,0.1619091,0.10348197,1.8731041,1.3844919,5.928622076068235,0.1686732578277588,9.822787092288992e-05,0.32,0.5,0.64
17,0.044432900846004486,0.14342503,0.13369927,1.68631,1.424056,5.9303352896365755,0.16862452983856202,9.801468428384718e-05,0.16,0.36,0.56
18,0.048561833798885345,0.13009082,0.09659148,1.5039787,1.1951176,5.938874521837729,0.16838207244873046,9.778965073991652e-05,0.22,0.52,0.76
19,0.03408748749643564,0.16850272,0.10871656,1.9347596,1.449538,5.927641099855282,0.168701171875,9.75528258147577e-05,0.34,0.46,0.62
20,0.046077292412519455,0.13541509,0.08611877,1.5880716,1.1840293,5.9325720540266795,0.1685609531402588,9.730426794137729e-05,0.36,0.58,0.68
21,0.04335416480898857,0.1441854,0.13992181,1.7167778,1.4393383,5.930186712690101,0.1686287546157837,9.70440384477113e-05,0.22,0.36,0.6
22,0.03967380616813898,0.12930644,0.09585392,1.506501,1.1731831,5.922702110834163,0.16884185314178468,9.67722015414934e-05,0.28,0.52,0.76
23,0.034229522570967674,0.20095232,0.13557154,2.2248557,1.7580944,5.937858206408662,0.16841089248657226,9.64888242944126e-05,0.18,0.38,0.52
24,0.04829002544283867,0.13995117,0.0891537,1.6485221,1.2182801,5.943686897364955,0.16824573993682862,9.619397662556436e-05,0.3,0.56,0.66
25,0.03447991330176592,0.14572683,0.13836828,1.7588637,1.4629387,5.937593927230137,0.16841838836669923,9.588773128419907e-05,0.18,0.34,0.58
26,0.046208955347537994,0.13024189,0.100102074,1.5340183,1.2286501,5.931945126837405,0.16857876777648925,9.557016383177228e-05,0.18,0.5,0.7
27,0.03227658662945032,0.20237936,0.14078882,2.236084,1.7798989,5.9322775361272,0.16856932163238525,9.524135262330099e-05,0.16,0.36,0.54
28,0.05173441208899021,0.18995644,0.12847453,2.11532,1.6647856,5.933344484307796,0.16853900909423827,9.49013787880308e-05,0.2,0.38,0.52
29,0.037960915826261044,0.12847503,0.10149288,1.5416574,1.2307354,5.930976637180885,0.16860629558563234,9.455032620941841e-05,0.24,0.5,0.7
30,0.03868906944990158,0.13424194,0.11643762,1.617882,1.3199227,5.929174038840145,0.16865755558013917,9.418828150443471e-05,0.24,0.44,0.68
31,0.030336097814142704,0.15226685,0.10371786,1.758327,1.3236369,5.936670815901583,0.16844457626342774,9.381533400219321e-05,0.32,0.48,0.64
32,0.03944908268749714,0.17542736,0.12907436,1.9618591,1.5346518,5.947444115872997,0.16813945293426513,9.343157572190959e-05,0.26,0.42,0.58
33,0.04264167137444019,0.12524599,0.09325102,1.5047679,1.188475,5.931969791971535,0.1685780668258667,9.303710135019721e-05,0.24,0.56,0.74
34,0.03260529227554798,0.13102025,0.10441536,1.5755934,1.2817485,5.93206006475575,0.16857550144195557,9.263200821770464e-05,0.22,0.48,0.66
