epoch,train_loss,val_mean_error,val_median_error,val_rmse,val_mae,val_fps,val_inference_time,learning_rate,delta_0.05,delta_0.10,delta_0.15
0,0.5332523077726364,0.15482144,0.14258382,2.4759407,2.0480514,5.6718918560137155,0.17630801598231,0.000299794430213186,0.2,0.3,0.56
1,0.19055397287011147,0.1658323,0.16721687,2.8458025,2.3309124,5.56972405549127,0.17954210837682089,0.00029917828430524096,0.12,0.3,0.42
2,0.17639671862125397,0.3332796,0.29404086,4.4562235,3.9197326,5.578016529804895,0.1792751948038737,0.00029815325108927063,0.06,0.16,0.26
3,0.16605943143367768,0.15890902,0.13505238,2.337291,1.9359372,5.430194444224472,0.18415546814600628,0.0002967221401100708,0.2,0.42,0.6
4,0.17086734026670455,0.15928192,0.13667023,2.3366635,1.9227988,5.500001879533774,0.18181811968485515,0.0002948888739433602,0.18,0.4,0.54
5,0.1863570749759674,0.15236077,0.13310105,2.2677546,1.8712223,5.498347065059211,0.18187284072240192,0.00029265847744427303,0.18,0.42,0.62
6,0.18645898401737213,0.16441673,0.12863347,2.3828664,1.9654499,5.506149302056891,0.1816151261329651,0.00029003706397458023,0.2,0.4,0.52
7,0.20031774491071702,0.22791904,0.23382136,3.7857046,3.2361887,5.51766125475599,0.18123620748519897,0.0002870318186463901,0.06,0.16,0.26
8,0.1602610729634762,0.1681135,0.15801796,2.8778715,2.356276,5.532894746967122,0.1807372172673543,0.00028365097862825513,0.14,0.36,0.48
9,0.1703199177980423,0.1743748,0.17591447,2.9643564,2.4472787,5.523549380483929,0.18104300896326703,0.0002799038105676658,0.14,0.36,0.44
10,0.16235911771655082,0.14582129,0.13617277,2.4391098,1.9618737,5.547510073972682,0.18026105165481568,0.00027580058519181355,0.24,0.32,0.58
11,0.1352717772126198,0.1707443,0.17893478,2.8962948,2.382092,5.556244184928978,0.17997769117355347,0.00027135254915624206,0.14,0.38,0.44
12,0.12904186993837358,0.16572508,0.15890054,2.8236415,2.2972512,5.503397419298376,0.18170593976974486,0.00026657189421854557,0.12,0.44,0.48
13,0.15214380100369454,0.15671451,0.13648185,2.7037125,2.1481981,5.532442994949583,0.1807519753774007,0.0002614717238216091,0.26,0.38,0.54
14,0.10490103028714656,0.19781776,0.17313251,2.967283,2.3163078,5.566860248731958,0.1796344717343648,0.00025606601717798207,0.22,0.38,0.46
15,0.21193234995007515,0.14316438,0.12786098,2.392262,1.9100142,5.599675827991156,0.17858176628748576,0.0002503695909538287,0.26,0.34,0.56
16,0.23144562914967537,0.28660446,0.28048557,4.472824,4.001639,5.544739670712956,0.1803511182467143,0.0002443980586574756,0.04,0.06,0.12
17,0.23575980812311173,0.19902734,0.17657869,2.9255738,2.3178468,5.564734136366836,0.1797031044960022,0.0002381677878438709,0.24,0.38,0.48
18,0.13483269289135932,0.15085436,0.11829541,2.2654912,1.827384,5.588151260050766,0.1789500594139099,0.000231695855252254,0.18,0.4,0.66
19,0.1342002309858799,0.13596761,0.12004947,2.2498622,1.7824893,5.555694170473935,0.17999550898869832,0.0002249999999999999,0.26,0.4,0.64
20,0.1553069569170475,0.19207081,0.19456285,3.1876838,2.6774263,5.552777627308401,0.18009004990259808,0.00021809857496093193,0.16,0.18,0.42
21,0.14343108460307122,0.24045658,0.2342329,3.8015337,3.3300662,5.5207539218500505,0.18113468090693158,0.00021101049646136998,0.06,0.14,0.2
22,0.16083313524723053,0.15347145,0.12942933,2.612707,2.062081,5.522218427977598,0.18108664353688558,0.00020375519243179502,0.22,0.4,0.56
23,0.1822774291038513,0.18572737,0.15672615,2.8006446,2.1964712,5.52536072903304,0.18098365863164267,0.00019635254915624205,0.22,0.34,0.48
24,0.1412128672003746,0.15890396,0.123807445,2.4298296,1.9180151,5.479481261114284,0.18249902725219727,0.00018882285676537805,0.2,0.38,0.64
25,0.12687720358371735,0.14139985,0.1375536,2.4296556,1.8840865,5.628245626265014,0.17767525911331178,0.00018118675362266382,0.34,0.38,0.54
26,0.09859116971492768,0.16808237,0.13900572,2.573668,2.0469923,5.552989596180798,0.18008317550023395,0.0001734651697560346,0.22,0.38,0.54
27,0.13972711712121963,0.14513355,0.11726153,2.416565,1.9009131,5.761057078725765,0.1735792557398478,0.00016567926949014798,0.18,0.42,0.64
28,0.13680024519562722,0.14776863,0.13498417,2.5279672,1.9939078,5.772735189737388,0.17322810888290405,0.0001578503934364415,0.22,0.36,0.56
29,0.1112567089498043,0.18504761,0.17490202,3.1062593,2.5677996,5.786835549198357,0.17280601660410563,0.00015,0.14,0.24,0.42
30,0.11300838850438595,0.15010484,0.13131551,2.5559986,2.0102866,5.754649096578258,0.17377254168192546,0.0001421496065635584,0.22,0.38,0.56
31,0.1031791016459465,0.1692523,0.14220536,2.826294,2.301878,5.778401549686013,0.17305823961893718,0.00013432073050985197,0.16,0.34,0.5
