epoch,train_loss,val_mean_error,val_median_error,val_rmse,val_mae,val_fps,val_inference_time,learning_rate,delta_0.05,delta_0.10,delta_0.15
0,0.10195649931064019,0.15112343,0.12569505,2.6415818,1.9363464,5.571715819074411,0.17947792609532673,0.00014994217771805422,0.3,0.46,0.6
1,0.10609367633095154,0.16267356,0.13856378,2.6087952,2.0776334,5.535036524766306,0.18066728115081787,0.00014976880002998458,0.2,0.4,0.52
2,0.1043276465856112,0.1647275,0.14768285,2.7651608,2.2233214,5.557919063093402,0.17992345492045084,0.00014948013427161947,0.18,0.36,0.5
3,0.11617785004469064,0.16469616,0.13473539,2.8256657,2.2463622,5.620751783823919,0.17791214386622112,0.00014907662554463532,0.18,0.34,0.52
4,0.0989568239221206,0.15895373,0.12626807,2.5501366,2.0366971,5.770287790243825,0.1733015815416972,0.00014855889603024227,0.2,0.4,0.56
5,0.10448990131799991,0.15576464,0.12561569,2.551856,2.0299027,5.816069927925618,0.17193741003672283,0.00014792774402982571,0.16,0.36,0.56
6,0.09730560131944142,0.17637266,0.14548123,3.0075326,2.4347095,5.83569574845049,0.17135917345682777,0.0001471841427340235,0.12,0.22,0.52
7,0.11495902991065612,0.20211968,0.20173915,3.5006027,2.8633583,5.826614250387615,0.17162625789642333,0.00014632923872213652,0.12,0.2,0.34
8,0.10443396092607425,0.16985472,0.15022135,2.6169233,2.1831684,5.830768443009899,0.1715039809544881,0.0001453643501941863,0.12,0.28,0.5
9,0.09497277037455486,0.16164003,0.15126348,2.7369835,2.1860063,5.824695079153661,0.17168280680974324,0.00014429096493834647,0.14,0.38,0.46
10,0.09986714445627652,0.1605739,0.12897226,2.5508568,2.0572424,5.807523622624079,0.17219043175379434,0.00014311073803688107,0.16,0.38,0.58
11,0.09277797117829323,0.14792173,0.10570372,2.5067081,1.8805066,5.869033899096828,0.1703857938448588,0.00014182548931412757,0.28,0.48,0.68
12,0.11113972618029667,0.1942828,0.17681041,3.2990866,2.725091,5.8450119421076385,0.17108604907989503,0.00014043720053045976,0.04,0.18,0.38
13,0.13865930730333695,0.18979965,0.18283185,3.3604052,2.709294,5.819116562857859,0.17184739112854003,0.0001389480123265569,0.1,0.22,0.34
14,0.1053408017525306,0.18631351,0.15600002,2.7173572,2.1785147,5.85408188286232,0.17082097927729287,0.0001373602209226909,0.22,0.44,0.5
15,0.12630201245729739,0.18835515,0.13914934,2.7472515,2.192534,5.893326853110763,0.16968344449996947,0.00013567627457812106,0.26,0.38,0.56
16,0.11249483090180618,0.16004398,0.15860179,2.8387191,2.2326276,5.817196006850497,0.17190412680308026,0.00013389876981605587,0.2,0.36,0.44
17,0.09206749842717098,0.20080489,0.18279427,3.4530752,2.8447158,5.824492325843257,0.1716887831687927,0.00013203044742000233,0.06,0.18,0.32
18,0.0948407707306055,0.14542228,0.124981925,2.4871204,1.9113986,5.88350219472111,0.16996679306030274,0.00013007418820767643,0.28,0.42,0.58
19,0.08798247432479492,0.18914214,0.16621137,3.2625759,2.6601913,5.85955303354018,0.17066148122151692,0.00012803300858899106,0.06,0.2,0.42
20,0.11018793170268719,0.17715012,0.17562729,3.1906774,2.5223107,5.833497970975791,0.17142373323440555,0.00012591005591497064,0.18,0.28,0.44
21,0.116483063938526,0.16059805,0.15776071,2.8852906,2.2543755,5.841339059863258,0.17119362354278564,0.0001237086036247638,0.2,0.36,0.44
22,0.08308194033228435,0.18207808,0.12919313,2.7474778,2.1536226,5.809575395004141,0.1721296191215515,0.00012143204619823755,0.22,0.4,0.54
23,0.12858408460250267,0.16646564,0.110138476,2.567282,2.0210924,5.858235391997044,0.17069986661275227,0.0001190838939219355,0.16,0.44,0.58
24,0.11813448656063813,0.16761541,0.11510369,2.5634646,2.0273256,5.817804937895897,0.17188613414764403,0.00011666776747647018,0.16,0.46,0.58
25,0.09324369837458317,0.16240692,0.16620354,2.847906,2.254294,5.8531663662883915,0.1708476980527242,0.00011418739235369617,0.18,0.36,0.44
26,0.0874782161643872,0.1544462,0.15131274,2.6380355,2.0661209,5.842219956964226,0.1711678107579549,0.00011164659311227165,0.22,0.4,0.48
27,0.07873526029288769,0.14859729,0.1278273,2.5234833,1.9387407,5.8655720629934125,0.17048635482788085,0.00010904928748046603,0.28,0.4,0.62
28,0.09684566523020084,0.17962559,0.16987291,3.1110055,2.5178733,5.831730210399805,0.1714756965637207,0.00010639948031530714,0.12,0.28,0.38
29,0.07160252504623853,0.155722,0.1438075,2.6645665,2.095312,5.876625175758814,0.17016569375991822,0.00010370125742738177,0.24,0.36,0.52
30,0.0823636487699472,0.16356456,0.1141659,2.5698664,2.0552614,5.8517417854722416,0.17088929017384846,0.000100958779280812,0.14,0.42,0.6
31,0.09114877593058807,0.18051665,0.14461814,2.6915355,2.1660976,5.8653391134107125,0.17049312591552732,9.81762745781211e-05,0.24,0.4,0.54
32,0.08633872608725841,0.16059002,0.15747337,2.8590455,2.2432468,5.866207300059557,0.17046789328257245,9.53580337398806e-05,0.2,0.34,0.48
33,0.07354004079332718,0.15894747,0.14028722,2.8050957,2.1979992,5.876293650016233,0.17017529408137005,9.250840228919295e-05,0.22,0.32,0.52
